2023-07-09; 07:46:40; 00:16:18; Триблок; None;
2023-07-09; 03:56:39; 00:49:27; Триблок; Обед;
2023-07-08; 23:42:02; 00:04:53; Триблок; Настройка;
2023-07-08; 18:11:59; 00:17:35; Триблок; |Ремонт наливного крана;|
2023-07-09; 02:39:00; 00:06:00; Этикетировка; None;
2023-07-08; 22:19:38; 01:17:13; Триблок; |Переход по этикетке и в/м;|
2023-07-09; 06:09:03; 00:07:01; Триблок; Настройка;
2023-07-09; 05:45:56; 00:15:49; Триблок; |Переход по этикетке;|
2023-07-09; 07:32:53; 00:07:55; Триблок; None;
2023-07-09; 07:11:40; 00:14:40; Триблок; |Ремонт наливного крана;|
2023-07-08; 21:38:42; 00:04:59; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-08; 19:51:02; 00:13:32; |Мюзлёвочный аппарат;| Настройка;
2023-07-09; 13:28:04; 00:19:43; |Триблок розлива;| Настройка;
2023-07-09; 01:32:17; 00:04:44; Триблок; Настройка;
2023-07-09; 01:59:03; 00:08:31; Этикетировка; Настройка;
2023-07-09; 00:03:00; 00:42:05; Триблок; |Переход по этикетке и в/м;|
2023-07-09; 02:19:29; 00:03:32; Этикетировка; None;
2023-07-09; 16:34:00; 00:33:41; Триблок; Обед;
2023-07-09; 02:52:51; 00:03:38; Этикетировка; None;
2023-07-09; 15:52:19; 00:05:14; Этикетировка; None;
2023-07-09; 02:56:30; 00:09:04; Триблок; Настройка;
2023-07-09; 03:14:59; 00:22:26; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-10; 03:54:41; 00:04:04; Триблок; |Замена рибона, коробочного стикера;|
2023-07-09; 05:13:24; 00:11:18; |Капсуляторная машина;| Настройка;
2023-07-09; 05:27:55; 00:11:38; |Капсуляторная машина;| Настройка;
2023-07-09; 06:19:04; 00:05:28; Триблок; None;
2023-07-09; 06:33:52; 00:11:04; Триблок; |Ремонт наливного крана;|
2023-07-09; 06:46:26; 00:06:41; Триблок; None;
2023-07-10; 00:03:00; 00:38:08; Триблок; |Открытие партии суточное;|
2023-07-09; 17:17:48; 00:28:06; Триблок; |Ремонт наливного крана;|
2023-07-09; 13:56:08; 00:04:28; |Мюзлёвочный аппарат;| Настройка;
2023-07-09; 16:29:11; 00:03:48; Триблок; Настройка;
2023-07-09; 17:50:41; 00:22:41; Триблок; |Ремонт наливного крана;|
2023-07-09; 10:06:13; 01:14:58; Триблок; |Переход по этикетке и в/м;|
2023-07-09; 18:10:29; 04:14:35; Переналадка; |Переход по этикетке, в/м и бутылке с мойкой (4 ч);|
2023-07-09; 13:19:52; 00:03:29; Этикетировка; Настройка;
2023-07-10; 01:07:06; 00:12:24; Триблок; Настройка;
2023-07-09; 14:26:27; 00:42:33; Триблок; |Переход на новый акратофор,емкость;|
2023-07-09; 22:59:12; 00:03:31; Принтер; |Замена рибона, коробочного стикера;|
2023-07-09; 11:44:38; 01:01:56; |Укладчик бутылок;| Настройка;
2023-07-09; 15:38:16; 00:08:45; Этикетировка; Настройка;
2023-07-09; 12:56:42; 00:04:15; Этикетировка; None;
2023-07-09; 08:04:00; 00:16:12; Триблок; |Ремонт наливного крана;|
2023-07-10; 02:29:47; 00:24:16; Триблок; |Поломка аппарата;|
2023-07-10; 03:50:18; 00:03:49; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-10; 07:29:44; 00:03:58; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-09; 15:11:06; 00:05:07; Триблок; |Поломка аппарата;|
2023-07-09; 23:10:40; 00:06:41; Триблок; Настройка;
2023-07-09; 23:41:08; 00:20:48; Триблок; |Закрытие партии суточное;|
2023-07-09; 22:25:27; 00:33:40; Этикетировка; |Настройка после переналадки;|
2023-07-23; 02:49:06; 00:06:34; Триблок; None;
2023-07-10; 04:01:14; 00:45:28; Триблок; Обед;
2023-07-10; 00:52:24; 00:11:12; |Этикетировочная машина;| Настройка;
